Stock Code,Company Name,URL
9474,BRAHIM'S HOLDINGS BERHAD,http://www.tamadam.com
8761,BREM HOLDING BERHAD,http://www.bremholding.com
9938,BRIGHT PACKAGING INDUSTRY BERHAD,http://www.brightpack.net/
4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,http://www.batmalaysia.com
7221,BSL CORPORATION BERHAD,http://www.bslcorp.com.my
7188,BTM RESOURCES BERHAD,http://www.btmresorces.com.my
5210,BUMI ARMADA BERHAD,http://www.bumiarmada.com
1818,BURSA MALAYSIA BERHAD,http://www.bursamalaysia.com
2828,C.I. HOLDINGS BERHAD,http://www.cih.com.my
7174,CAB CAKARAN CORPORATION BERHAD,http://www.cab.com.my
7154,CAELY HOLDINGS BHD,http://www.caelyholdings.com
2852,CAHYA MATA SARAWAK BERHAD,http://www.cmsb.com.my/
7128,CAM RESOURCES BERHAD,http://www.camres.com.my
5105,CAN-ONE BERHAD,http://www.canone.com.my
5180,CAPITALAND MALAYSIA MALL TRUST,http://www.capitamallsmalaysia.com
5257,CARIMIN PETROLEUM BERHAD,http://www.carimin.com/
5245,CARING PHARMACY GROUP BERHAD,http://www.caring2u.com.my
2836,CARLSBERG BREWERY MALAYSIA BERHAD,http://www.carlsbergmalaysia.com.my
7076,CB INDUSTRIAL PRODUCT HOLDING BERHAD,http://www.cbip.com.my
7035,CCK CONSOLIDATED HOLDINGS BERHAD,http://www.cck.com.my/
5195,CENSOF HOLDINGS BERHAD,http://www.censof.com
8052,CENTRAL GLOBAL BERHAD,http://www.cicb.com.my
8982,CEPATWAWASAN GROUP BERHAD,http://www.cepatgroup.com
7209,CHEETAH HOLDINGS BERHAD,http://www.cheetah.com.my
2879,CHEMICAL COMPANY OF MALAYSIA BERHAD,http://www.ccmberhad.com
5273,CHIN HIN GROUP BERHAD,http://www.chinhingroup.com/
7187,CHIN HIN GROUP PROPERTY BERHAD,http://www.boonkoon.com
1929,CHIN TECK PLANTATIONS BERHAD,http://www.chinteck.com.my
5007,CHIN WELL HOLDINGS BERHAD,http://www.chinwell.com.my
5229,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED ,http://www.china-autoparts.biz
5188,CHINA OUHUA WINERY HOLDINGS LIMITED,http://www.ohuawine.com.my
5797,CHOO BEE METAL INDUSTRIES BHD,http://www.choobee.com.my
7016,CHUAN HUAT RESOURCES BHD,http://www.chuanhuat.com.my
1023,CIMB GROUP HOLDINGS BERHAD,http://www.cimb.com/
7117,CJ CENTURY LOGISTICS HOLDINGS BERHAD,http://www.century.com.my
7202,CLASSIC SCENIC BERHAD,http://www.classicscenic.com
7018,CME GROUP BERHAD,http://www.cme.com.my
7986,CN ASIA CORPORATION BHD,http://www.cnasia.com
5104,CNI HOLDINGS BERHAD,http://www.cniholdings.com.my
5071,COASTAL CONTRACTS BHD,http://www.coastalcontracts.com
7205,COCOALAND HOLDINGS BERHAD,http://www.cocoaland.com
2127,COMFORT GLOVES BERHAD,http://www.ircb.com.my
7195,COMINTEL CORPORATION BHD,http://www.comcorp.com.my
5136,COMPLETE LOGISTIC SERVICES BERHAD,http://www.complete-group.com
5037,COMPUGATES HOLDINGS BERHAD,http://www.compugates.com
8044,COMPUTER FORMS (MALAYSIA) BERHAD,http://www.cfm.com.my
8435,CONCRETE ENGINEERING PRODUCTS BERHAD,http://www.cepco.com.my
